TrackName,FishNo,Treatment,Month_Treatment,Month,Length,Weight
Variants: MTFA01_S180_L001_R_001,T29_F1,T29,5.1_T29,5.1,NA,NA
Variants: MTFA02_S181_L001_R_001,T29_F2,T29,5.1_T29,5.1,NA,NA
Variants: MTFA03_S182_L001_R_001,T29_F3,T29,5.1_T29,5.1,NA,NA
Variants: MTFA04_S183_L001_R_001,T29_F4,T29,5.1_T29,5.1,NA,NA
Variants: MTFA05_S184_L001_R_001,T29_F5,T29,5.1_T29,5.1,NA,NA
Variants: MTFA06_S185_L001_R_001,T29_F6,T29,5.1_T29,5.1,NA,NA
Variants: MTFA07_S186_L001_R_001,T24_F1,T24,5.1_T24,5.1,NA,NA
Variants: MTFA08_S187_L001_R_001,T24_F2,T24,5.1_T24,5.1,NA,NA
Variants: MTFA09_S188_L001_R_001,T24_F3,T24,5.1_T24,5.1,NA,NA
Variants: MTFA10_S189_L001_R_001,T24_F4,T24,5.1_T24,5.1,NA,NA
Variants: MTFA11_S190_L001_R_001,T24_F5,T24,5.1_T24,5.1,NA,NA
Variants: MTFA12_S191_L001_R_001,T24_F6,T24,5.1_T24,5.1,NA,NA
Variants: MTFA13_S192_L001_R_001,T34_F1,T34,5.1_T34,5.1,NA,NA
Variants: MTFA14_S193_L001_R_001,T34_F2,T34,5.1_T34,5.1,NA,NA
Variants: MTFA15_S194_L001_R_001,T34_F3,T34,5.1_T34,5.1,NA,NA
Variants: MTFA16_S195_L001_R_001,T34_F4,T34,5.1_T34,5.1,NA,NA
Variants: MTFA17_S196_L001_R_001,T34_F5,T34,5.1_T34,5.1,NA,NA
Variants: MTFA18_S197_L001_R_001,T34_F6,T34,5.1_T34,5.1,NA,NA
Variants: MTFA19_S198_L001_R_001,T2434_F1,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA20_S199_L001_R_001,T2434_F2,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA21_S200_L001_R_001,T2434_F3,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA22_S201_L001_R_001,T2434_F4,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA23_S202_L001_R_001,T2434_F5,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA24_S203_L001_R_001,T2434_F6,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA01_S84_L001_R_001,T29_F1,T29,5.2_T29,5.2,NA,NA
Variants: MTFA02_S85_L001_R_001,T29_F2,T29,5.2_T29,5.2,NA,NA
Variants: MTFA03_S86_L001_R_001,T29_F3,T29,5.2_T29,5.2,NA,NA
Variants: MTFA04_S87_L001_R_001,T29_F4,T29,5.2_T29,5.2,NA,NA
Variants: MTFA05_S88_L001_R_001,T29_F5,T29,5.2_T29,5.2,NA,NA
Variants: MTFA06_S89_L001_R_001,T29_F6,T29,5.2_T29,5.2,NA,NA
Variants: MTFA07_S90_L001_R_001,T24_F1,T24,5.2_T24,5.2,NA,NA
Variants: MTFA08_S91_L001_R_001,T24_F2,T24,5.2_T24,5.2,NA,NA
Variants: MTFA09_S92_L001_R_001,T24_F3,T24,5.2_T24,5.2,NA,NA
Variants: MTFA10_S93_L001_R_001,T24_F4,T24,5.2_T24,5.2,NA,NA
Variants: MTFA11_S94_L001_R_001,T24_F5,T24,5.2_T24,5.2,NA,NA
Variants: MTFA12_S95_L001_R_001,T24_F6,T24,5.2_T24,5.2,NA,NA
Variants: MTFA13_S96_L001_R_001,T34_F1,T34,5.2_T34,5.2,NA,NA
Variants: MTFA14_S97_L001_R_001,T34_F2,T34,5.2_T34,5.2,NA,NA
Variants: MTFA15_S98_L001_R_001,T34_F3,T34,5.2_T34,5.2,NA,NA
Variants: MTFA16_S99_L001_R_001,T34_F4,T34,5.2_T34,5.2,NA,NA
Variants: MTFA17_S100_L001_R_001,T34_F5,T34,5.2_T34,5.2,NA,NA
Variants: MTFA18_S101_L001_R_001,T34_F6,T34,5.2_T34,5.2,NA,NA
Variants: MTFA19_S102_L001_R_001,T2434_F1,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA20_S103_L001_R_001,T2434_F2,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA21_S104_L001_R_001,T2434_F3,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA22_S105_L001_R_001,T2434_F4,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA23_S106_L001_R_001,T2434_F5,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA24_S107_L001_R_001,T2434_F6,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFAB01_S10_L001_R_001,T29_F1,T29,6_T29,6,25.5,157
Variants: MTFAB02_S1_L001_R_001,T29_F2,T29,6_T29,6,22,104
Variants: MTFAB03_S2_L001_R_001,T29_F3,T29,6_T29,6,22,102
Variants: MTFAB04_S3_L001_R_001,T29_F4,T29,6_T29,6,22.5,124
Variants: MTFAB05_S4_L001_R_001,T29_F5,T29,6_T29,6,26,193
Variants: MTFAB06_S5_L001_R_001,T29_F6,T29,6_T29,6,23,116
Variants: MTFAB07_S6_L001_R_001,T29_F7,T29,6_T29,6,20,78
Variants: MTFAB08_S7_L001_R_001,T29_F8,T29,6_T29,6,20.5,91
Variants: MTFAB09_S20_L001_R_001,T24_F1,T24,6_T24,6,18.5,68
Variants: MTFAB10_S11_L001_R_001,T24_F2,T24,6_T24,6,19.5,76
Variants: MTFAB11_S12_L001_R_001,T24_F3,T24,6_T24,6,20,93
Variants: MTFAB12_S13_L001_R_001,T24_F4,T24,6_T24,6,19,71
Variants: MTFAB13_S14_L001_R_001,T24_F5,T24,6_T24,6,21.5,110
Variants: MTFAB14_S15_L001_R_001,T24_F6,T24,6_T24,6,24,150
Variants: MTFAB15_S16_L001_R_001,T24_F7,T24,6_T24,6,20,89
Variants: MTFAB16_S17_L001_R_001,T24_F8,T24,6_T24,6,20,86
Variants: MTFAB17_S30_L001_R_001,T34_F1,T34,6_T34,6,22,125
Variants: MTFAB18_S21_L001_R_001,T34_F2,T34,6_T34,6,22.5,120
Variants: MTFAB19_S22_L001_R_001,T34_F3,T34,6_T34,6,24,150
Variants: MTFAB20_S23_L001_R_001,T34_F4,T34,6_T34,6,21.5,99
Variants: MTFAB21_S24_L001_R_001,T34_F5,T34,6_T34,6,18.5,70
Variants: MTFAB22_S25_L001_R_001,T34_F6,T34,6_T34,6,20.5,99
Variants: MTFAB23_S26_L001_R_001,T34_F7,T34,6_T34,6,21.5,114
Variants: MTFAB24_S27_L001_R_001,T34_F8,T34,6_T34,6,21.5,125
Variants: MTFAB25_S40_L001_R_001,T2434_F1,T2434,6_T2434,6,22.7,121
Variants: MTFAB26_S31_L001_R_001,T2434_F2,T2434,6_T2434,6,20,84
Variants: MTFAB27_S32_L001_R_001,T2434_F3,T2434,6_T2434,6,20.5,86
