Months,Treatment,FishNo,Length,Weight
6,24,1,18.5,68
6,24,2,19.5,76
6,24,3,20,93
6,24,4,19,71
6,24,5,21.5,110
6,24,6,24,150
6,24,7,19.5,82
6,24,8,20,89
6,24,9,20.5,89
6,24,10,20,86
6,24,11,22,118
6,24,12,22,116
6,24,13,24,149
6,24,14,17.5,56
6,24,15,19,71
6,24,16,21,110
6,24,17,22.5,107
6,24,19,22,111
6,24,20,20,88
6,24,21,22.5,127
6,24,22,17.5,57
6,29,1,22,125
6,29,2,22.5,120
6,29,3,24,150
6,29,4,23.5,157
6,29,5,19.5,90
6,29,6,21.5,99
6,29,7,18.5,70
6,29,8,20.5,99
6,29,9,21.5,114
6,29,10,21.5,125
6,29,11,22.5,140
6,29,12,26.5,229
6,29,13,27,238
6,29,14,24,158
6,29,15,22.2,107
6,29,16,19.5,83
6,29,17,24.6,158
6,29,18,20.5,95
6,29,19,20.3,88
6,29,20,21,108
6,34,1,25.5,157
6,34,2,22,104
6,34,3,22,102
6,34,4,22.5,124
6,34,5,26,193
6,34,6,23,116
6,34,7,20.5,94
6,34,8,20,78
6,34,9,23.5,130
6,34,10,20.5,91
6,34,11,22.5,114
6,34,12,19.5,76
6,34,13,22.5,113
6,34,14,22.5,113
6,34,15,22,103
6,34,16,21,85
6,34,17,22,113
6,34,18,20,81
6,34,19,22.5,104
6,34,20,20,80
6,F,1,22.7,121
6,F,2,20,84
6,F,3,20.5,86
6,F,4,19.3,76
6,F,5,17.6,59
6,F,6,22.7,107
6,F,7,21.5,114
6,F,8,21.8,118
6,F,9,21.9,101
6,F,10,20.2,82
6,F,11,20.3,97
6,F,12,18.4,61
6,F,13,18.4,66
6,F,14,23,127
6,F,15,22.6,113
6,F,16,19.4,75
6,F,17,19.4,73
6,F,18,18.7,66
6,F,19,20.8,89
6,F,20,20,89
9,29,1,31,357
9,29,2,29,284
9,29,3,28.5,309
9,29,4,30.5,329
9,29,5,31,400
9,29,6,31,368
9,29,7,30,346
9,29,8,32.5,457
9,29,9,31,401
9,29,1,27.5,265
9,24,1,32,418
9,24,2,28,291
9,24,3,25,193
9,24,4,31.5,419
9,24,5,35,539
9,24,6,27,232
9,24,7,33.5,451
9,24,8,34,492
9,24,9,31,384
9,24,1,33,479
9,34,1,33,471
9,34,2,31,427
9,34,3,31.5,405
9,34,4,34,625
9,34,5,31,420
9,34,6,34,536
9,34,7,33.5,538
9,34,8,30,384
9,34,9,34,535
9,34,1,28.5,321
9,F,1,31,386
9,F,2,31,359
9,F,3,30,360
9,F,4,30,314
9,F,5,29,281
9,F,6,29.5,326
9,F,7,31,347
9,F,8,30,334
9,F,9,33,414
9,F,1,29.5,304
12,29,1,36,599
12,29,2,31.5,415
12,29,3,31.5,389
12,29,4,34.5,489
12,29,5,32,461
12,29,6,36.5,657
12,29,7,33,438
12,29,8,37,685
12,29,9,36.5,659
12,29,10,36.5,595
12,24,1,35,573
12,24,2,35.5,629
12,24,3,33,462
12,24,4,30,342
12,24,5,35,604
12,24,6,38.5,823
12,24,7,37.5,804
12,24,8,37.5,755
12,24,9,37.5,755
12,24,10,33,437
12,34,1,35.5,566
12,34,2,36,575
12,34,3,36.6,630
12,34,4,36,728
12,34,5,39,736
12,34,6,33,483
12,34,7,39.5,930
12,34,8,34.5,528
12,34,9,37.5,705
12,34,10,38.5,814
12,34,11,37.5,690
12,34,12,38,767
12,F,1,37.5,646
12,F,2,36.9,659
12,F,3,36.5,577
12,F,4,34,515
12,F,5,35.5,625
12,F,6,36,598
12,F,7,37,649
12,F,8,33,464
12,F,9,37,734
12,F,10,40,846
